"StoreSMS - Summary","StoreSMS - Podsumowanie"
"StoreSMS - Send Bulk SMS","StoreSMS: Hurtowa wysyłka wiadomości"
"Send Bulk SMS","Wyślij wiadomość hurtową"
"Send","Wyślij"
"StoreSMS - Settings","StoreSMS - Ustawienia"
"Storesms - Main Configuration","Storesms - konfiguracja podstawowa"
"Enabled","Włączony"
"API Login","API Login"
"API Password","API Hasło"
"Store name","Nazwa sklepu"
"Send as Pro Message (with sender)","Wyślij jako wiadomość Pro (z nadawcą)"
"Sender (max. 11 chars)","Nadawca (max. 11 znaków)"
"Country prefix","Prefix kraju"
"Allow long messages (more than 160 chars)","Zezwól na długie wiadomości (dłuższe niż 160 znaków)"
"Notify if my Storesms account credits is below:","Poinformuj mnie jeśli na moim koncie Storesms pozostało środków mniej niż:"
"<div style=""padding:10px;background-color:#fff;border:1px solid #CCC;margin-bottom:7px;"">In each template you can use dynamic data. You can add <br />- {NAME} - customer name <br />- {ORDERSTATUS} - status of an order <br />- {ORDERNUMBER} - order number<br />- {TRACKINGNUMBER} - tracking number (if exists)<br />- {STORENAME} - the name of the store<br />Example: Your order #{ORDERNUMBER} waits for a fee. Regards {STORENAME}<br />SMS Content: Your order #100000012 waits for a fee. Regards infobip.com</div><div id=""storesmsCounterContainer"">Message length: <span id=""storesmsCounter"">0</span> chars.<br /> <span id=""storesmsTooLongAlert""> Warning: The template can be to long for 1 SMS. Please shorten the message or allow to send long messages in Main Configuration.</span></div><br />","<div style=""padding:10px;background-color:#fff;border:1px solid #CCC;margin-bottom:7px;""><p>W każdym szablonie możesz używać danych dynamicznych. Możesz dodać:<br /> - {NAME} - imię klienta <br /> - {ORDERSTATUS} - status przesyłki <br /> - {ORDERNUMBER} - nr zamówienia<br /> - {TRACKINGNUMBER} - nr pozwalający na śledzenie przesyłki (jeśli istnieje)<br /> - {STORENAME} - nazwa sklepu<br /> Przykład: Twoje zamówienie nr {ORDERNUMBER} czeka na wpłatę. Pozdrawiamy {STORENAME}.<br /> Treść wysłanego SMSa: Twoje zamówienie nr 100000012 czeka na wpłatę. Pozdrawiamy infobip.com.pl.</p></div><div id=""storesmsCounterContainer"">Długość wiadomości: <span id=""storesmsCounter"">0</span> znaków.<br /> <span id=""storesmsTooLongAlert""> Uwaga: Szablon może być zbyt długi na 1 SMSa. Proszę skrócić wiadomość lub zezwolić na wysyłkę długich wiadomości w konfiguracji podstawowej.</span></div><br />"
"Send SMS after status changed to ""Pending Payment""","Wyślij SMS  po zmianie statusu zamówienia na ""Oczekuje na wpłatę"""
"Message templates","Szablony wiadomości"
"Template","Szablon"
"Send SMS after status changed to ""On Hold""","Wyślij SMS  po zmianie statusu zamówienia na ""Wstrzymano"""
"Send SMS after status changed to ""Processing""","Wyślij SMS  po zmianie statusu zamówienia na ""Przetwarzam"""
"Send SMS after status changed to ""Canceled""","Wyślij SMS  po zmianie statusu zamówienia na ""Anulowano"""
"end SMS after status changed to ""Complete""","Wyślij SMS  po zmianie statusu zamówienia na ""Zakończone"""
"Send SMS after status changed to ""Closed""","Wyślij SMS  po zmianie statusu zamówienia na ""Zamknięte"""
"Contact Us","Skontaktuj się z nami"
"Sign up","Zarejestruj się"
"Error sending Message:","Błąd podczas wysyłania wiadomości"
"Message sent successfully","Wiadomość wysłana"
"SMS notification sent (SMS id:","Powiadomienie SMS wysłane (id SMSa:"
"SMS notification sending error:","Błąd podczas wysyłania powiadomienia SMS:"
"Warning: Low credit level at your Storesms account. Buy credits.","Ostrzeżenie: Niski stan środków na koncie StoreSMS"
